Objekt,X,Y,Razdalja_mm,X3D,Y3D,Z3D,Čas
pomaranca,961,256,1240000,,,,11:11:30.669470
pomaranca,447,473,573000,,,,11:11:30.669858
pomaranca,959,211,1140000,,,,11:11:30.670202
pomaranca,447,474,580000,,,,11:11:30.721046
pomaranca,960,213,1151000,,,,11:11:30.721414
pomaranca,960,213,1222000,,,,11:11:30.768828
pomaranca,959,211,1131000,,,,11:11:30.819946
pomaranca,963,254,1138000,,,,11:11:30.820319
pomaranca,963,254,1380000,,,,11:11:30.866514
pomaranca,959,224,4048000,,,,11:11:30.913923
pomaranca,962,253,6708000,,,,11:11:30.914306
pomaranca,959,215,1075000,,,,11:11:31.091910
pomaranca,960,237,1898000,,,,11:11:31.223487
pomaranca,958,211,1638000,,,,11:11:31.315946
pomaranca,955,215,1118000,,,,11:11:31.407625
pomaranca,952,211,1104000,,,,11:11:31.455877
pomaranca,952,213,1148000,,,,11:11:31.501238
pomaranca,954,217,1104000,,,,11:11:31.549238
pomaranca,956,256,1253500,,,,11:11:31.597356
pomaranca,418,383,1199000,,,,11:11:32.276284
pomaranca,417,408,572000,,,,11:11:32.412394
pomaranca,423,456,607000,,,,11:11:32.412765
pomaranca,412,407,508000,,,,11:11:32.461349
pomaranca,428,438,571000,,,,11:11:32.461731
limona,350,405,563000,,,,11:11:32.507850
limona,333,411,548000,,,,11:11:32.555611
limona,361,499,542000,,,,11:11:32.601472
pomaranca,339,516,492000,,,,11:11:32.694017
limona,305,528,526000,,,,11:11:32.826838
limona,304,526,515000,,,,11:11:32.871814
limona,301,527,522000,,,,11:11:32.922474
limona,299,525,493000,,,,11:11:32.968642
limona,385,415,622000,,,,11:11:34.103775
limona,417,415,621000,,,,11:11:34.150870
limona,456,426,599000,,,,11:11:34.198676
pomaranca,456,424,589500,,,,11:11:34.199051
limona,468,431,593500,,,,11:11:34.246424
pomaranca,468,430,586000,,,,11:11:34.246833
limona,478,436,588500,,,,11:11:34.294250
pomaranca,477,436,593000,,,,11:11:34.294614
limona,491,451,596000,,,,11:11:34.341531
limona,496,454,599500,,,,11:11:34.389806
limona,505,461,613000,,,,11:11:34.436717
limona,507,463,622000,,,,11:11:34.486317
limona,506,464,616000,,,,11:11:34.794459
limona,506,464,611000,,,,11:11:34.841823
limona,505,463,610000,,,,11:11:34.891625
limona,499,460,599000,,,,11:11:34.937229
pomaranca,498,461,603500,,,,11:11:34.937581
limona,492,457,589000,,,,11:11:34.985309
limona,469,450,603000,,,,11:11:35.031143
pomaranca,469,451,603000,,,,11:11:35.031589
limona,459,450,614000,,,,11:11:35.077308
pomaranca,458,449,614000,,,,11:11:35.077668
pomaranca,938,244,1159000,,,,11:11:35.077967
limona,451,449,634000,,,,11:11:35.127692
pomaranca,451,450,634000,,,,11:11:35.128043
pomaranca,510,484,647000,,,,11:11:35.878998
